id;date;details;status;payment_method;payment_date;payment_amount
1;2020-07-17T00:58:42;RAM Focused;PAID;CASH_ON_DELIVERY;2020-07-17T09:20:49;64379
2;2020-07-16T21:48:48;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-07-17T02:59:06;17323
3;2020-07-17T02:16:13;Incredible Baby;CANCELLED;PAYPAL;2020-07-17T05:47:54;11017
4;2020-07-16T23:46:08;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-07-16T23:50:16;51438
5;2020-07-16T18:26:16;function;PAID;PAYPAL;2020-07-17T11:00:21;32278
6;2020-07-16T19:26:04;action-items;CANCELLED;CASH_ON_DELIVERY;2020-07-17T09:13:16;5232
7;2020-07-17T12:12:47;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-07-17T05:50:09;62169
8;2020-07-16T22:07:51;Toys;ISSUED;PAYPAL;2020-07-17T08:45:48;10756
9;2020-07-16T23:38:16;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-07-17T13:21:49;58055
10;2020-07-16T22:16:01;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-07-17T10:42:12;94075
