id;placed_date;status;code
1;2020-07-17T08:20:42;COMPLETED;Georgia calculate withdrawal
2;2020-07-16T19:17:12;COMPLETED;compress Steel out-of-the-box
3;2020-07-16T20:48:24;PENDING;Concrete
4;2020-07-17T10:14:19;CANCELLED;Investment Account
5;2020-07-16T21:31:09;PENDING;United States of America
6;2020-07-17T11:43:13;CANCELLED;IB Industrial Credit Card Account
7;2020-07-17T14:49:38;CANCELLED;Cotton Egyptian Pound
8;2020-07-16T23:45:42;COMPLETED;Home Loan Account
9;2020-07-17T08:39:58;COMPLETED;Human
10;2020-07-16T18:48:36;CANCELLED;payment
